sale_id,sale_date,product_id,quantity,customer_id,total_amount,rating
9432,06/01/2024,1,20,1,7000,5
404,02/09/2023,13,20,2,9000,5
546,02/22/2023,15,7,2,2450,4
748,03/10/2023,3,17,2,4250,4
1475,05/14/2023,18,13,2,5850,4
2323,08/03/2023,24,12,2,6000,4
2569,08/28/2023,24,10,2,5000,4
4698,11/10/2023,10,11,2,19800,4
5657,12/13/2023,1,19,2,6650,4
6316,01/04/2024,14,19,2,6080,5
6829,01/23/2024,1,9,2,3150,4
7168,02/04/2024,4,14,2,8400,4
9499,06/11/2024,4,19,2,11400,5
9760,07/16/2024,1,12,2,4200,4
9815,07/23/2024,3,7,2,1750,5
789,03/13/2023,13,7,2,3150,5
1874,06/21/2023,25,10,2,6000,5
3168,09/19/2023,22,16,2,6400,5
3760,10/07/2023,10,15,2,27000,4
6385,01/06/2024,14,16,2,5120,5
7926,03/01/2024,2,12,2,10800,5
8708,03/26/2024,2,5,2,4500,5
8905,04/05/2024,2,15,2,13500,5
9673,07/03/2024,4,20,2,12000,5
918,03/26/2023,23,6,2,1500,4
1209,04/22/2023,14,12,2,3840,5
2717,09/04/2023,24,20,2,10000,5
6632,01/15/2024,4,14,2,8400,5
7653,02/21/2024,1,11,2,3850,4
10057,08/22/2024,2,15,2,13500,4
7120,02/02/2024,4,5,2,3000,5
7091,02/01/2024,3,12,2,3000,5
8361,03/14/2024,3,17,2,4250,5
929,03/27/2023,28,5,3,1500,4
2490,08/20/2023,24,10,3,5000,5
2619,09/01/2023,24,20,3,10000,5
4498,11/04/2023,2,18,3,16200,4
5014,11/21/2023,3,7,3,1750,5
5982,12/24/2023,14,19,3,6080,4
6638,01/16/2024,1,20,3,7000,5
10211,09/12/2024,2,16,3,14400,4
55,01/06/2023,23,15,3,3750,5
413,02/09/2023,27,15,3,3000,4
636,03/01/2023,20,20,3,16000,4
1583,05/24/2023,15,15,3,5250,5
1940,06/30/2023,20,7,3,5600,5
2330,08/04/2023,24,5,3,2500,5
5484,12/07/2023,4,14,3,8400,5
6689,01/18/2024,1,8,3,2800,5
655,03/02/2023,22,9,3,3600,4
2250,07/27/2023,14,12,3,3842,4
2372,08/09/2023,24,15,3,7500,5
2817,09/07/2023,24,17,3,8500,4
2880,09/09/2023,24,10,3,5000,4
3137,09/18/2023,23,11,3,2750,4
4516,11/04/2023,10,8,3,14400,4
5579,12/10/2023,2,20,3,18000,5
9914,08/05/2024,2,14,3,12600,4
10056,08/22/2024,1,10,3,3500,5
3322,09/23/2023,24,16,3,8000,4
6574,01/13/2024,3,18,3,4500,5
6793,01/21/2024,2,6,3,5400,5
8528,03/19/2024,4,17,3,10200,5
668,03/03/2023,20,16,3,12800,4
3302,09/23/2023,22,9,3,3600,4
8786,03/29/2024,1,8,3,2800,5
1928,06/29/2023,2,13,3,11700,4
2900,09/10/2023,22,10,3,4000,5
821,03/16/2023,4,8,4,4800,5
1466,05/13/2023,25,18,4,10800,4
4385,10/31/2023,9,10,4,7000,5
6211,01/01/2024,14,8,4,2560,5
6891,01/25/2024,2,7,4,6300,4
8056,03/04/2024,1,14,4,4900,5
9208,05/08/2024,2,13,4,11700,5
10118,08/30/2024,3,17,4,4250,5
73,01/09/2023,17,13,4,7800,4
2426,08/14/2023,24,20,4,10000,5
3949,10/14/2023,8,15,4,11250,4
4638,11/08/2023,9,19,4,13300,4
5509,12/08/2023,1,15,4,5250,5
5705,12/15/2023,2,11,4,9900,4
10132,09/01/2024,4,6,4,3600,4
151,01/17/2023,17,13,4,7800,4
2238,07/26/2023,14,13,4,4160,5
2298,08/01/2023,8,14,4,10500,4
3522,09/30/2023,23,9,4,2250,5
3923,10/14/2023,1,12,4,4200,4
8268,03/11/2024,2,12,4,10800,5
733,03/08/2023,25,20,4,12000,4
7283,02/08/2024,3,18,4,4500,4
9166,05/04/2024,3,20,4,5000,4
7953,03/01/2024,4,16,4,9600,4
7118,02/02/2024,4,13,4,7800,5
9419,05/30/2024,3,15,4,3750,5
778,03/12/2023,11,12,5,6600,4
1780,06/11/2023,1,15,5,5250,4
2014,07/06/2023,19,15,5,4500,4
2411,08/12/2023,24,9,5,4500,4
3412,09/27/2023,21,10,5,6500,5
3691,10/05/2023,10,8,5,14400,4
4861,11/15/2023,9,20,5,14000,4
5023,11/21/2023,7,6,5,9000,5
5709,12/15/2023,5,10,5,4500,4
6897,01/25/2024,3,6,5,1500,4
7723,02/23/2024,3,19,5,4750,4
7996,03/02/2024,2,8,5,7200,5
8143,03/06/2024,3,18,5,4500,4
8980,04/15/2024,2,12,5,10800,4
9299,05/16/2024,4,11,5,6600,4
885,03/22/2023,25,14,5,8400,4
1233,04/24/2023,3,16,5,4000,5
3306,09/23/2023,22,19,5,7600,4
3865,10/12/2023,1,5,5,1750,5
4382,10/31/2023,6,9,5,10800,5
4816,11/14/2023,7,17,5,25500,4
5194,11/27/2023,10,7,5,12600,5
6406,01/07/2024,14,15,5,4800,4
6810,01/22/2024,1,14,5,4900,4
9433,06/01/2024,2,6,5,5400,4
10199,09/10/2024,1,8,5,2800,5
2820,09/08/2023,21,13,5,8450,4
5919,12/22/2023,14,7,5,2240,5
8043,03/03/2024,3,20,5,5000,4
8503,03/19/2024,1,14,5,4900,5
2462,08/17/2023,24,15,5,7500,4
7675,02/21/2024,4,14,5,8400,4
8728,03/27/2024,2,18,5,16200,5
2793,09/07/2023,22,19,5,7600,5
4135,10/22/2023,3,11,5,2750,4
4694,11/10/2023,9,6,5,4200,5
1541,05/20/2023,27,5,5,1000,5
3209,09/20/2023,22,15,5,6000,5
6974,01/28/2024,2,11,5,9900,5
7044,01/30/2024,4,18,5,10800,4
28,01/03/2023,25,14,6,8400,4
251,01/26/2023,17,8,6,4800,5
601,02/26/2023,20,8,6,6400,4
1198,04/21/2023,15,15,6,5250,4
1819,06/15/2023,3,15,6,3750,5
1999,07/05/2023,8,16,6,12000,5
2648,09/02/2023,24,5,6,2500,4
2834,09/08/2023,22,17,6,6800,4
5923,12/22/2023,14,16,6,5120,4
6512,01/11/2024,3,5,6,1250,5
6564,01/13/2024,2,5,6,4500,4
7175,02/05/2024,1,8,6,2800,5
8327,03/13/2024,2,14,6,12600,5
8331,03/13/2024,3,5,6,1250,4
9845,07/27/2024,4,11,6,6600,5
144,01/16/2023,24,19,6,9500,5
1167,04/18/2023,1,16,6,5600,5
3088,09/16/2023,24,9,6,4500,4
3429,09/27/2023,23,12,6,3000,4
4271,10/27/2023,4,17,6,10200,4
7583,02/18/2024,2,12,6,10800,4
7819,02/26/2024,4,18,6,10800,5
8265,03/11/2024,1,13,6,4550,4
1441,05/11/2023,10,15,6,27000,4
2351,08/07/2023,24,20,6,10000,5
2804,09/07/2023,24,14,6,7000,4
3793,10/09/2023,6,5,6,6000,4
10237,09/14/2024,1,9,6,3150,4
1871,06/21/2023,22,12,6,4800,4
3519,09/30/2023,23,5,6,1250,4
900,03/24/2023,19,5,6,1500,4
3878,10/12/2023,5,16,6,7200,4
5791,12/18/2023,4,5,6,3000,5
7290,02/08/2024,4,14,6,8400,4
8401,03/15/2024,4,11,6,6600,4
9280,05/15/2024,2,20,6,18000,4
9477,06/08/2024,3,10,6,2500,5
475,02/15/2023,23,20,7,5000,4
1644,05/30/2023,24,9,7,4500,5
1991,07/04/2023,14,11,7,3520,4
3114,09/17/2023,24,9,7,4500,5
3530,09/30/2023,24,17,7,8500,5
3920,10/13/2023,11,15,7,8250,5
4419,11/01/2023,10,12,7,21600,5
4553,11/05/2023,8,14,7,10500,4
4908,11/17/2023,11,16,7,8800,5
5186,11/27/2023,9,5,7,3500,5
5481,12/07/2023,4,17,7,10200,5
5653,12/12/2023,11,8,7,4400,5
10284,09/20/2024,2,20,7,18000,5
525,02/20/2023,22,17,7,6800,4
1444,05/11/2023,27,19,7,3800,4
4227,10/25/2023,4,8,7,4800,5
4579,11/06/2023,7,5,7,7500,4
6149,12/29/2023,14,12,7,3840,4
6913,01/26/2024,1,12,7,4200,4
8711,03/26/2024,3,12,7,3000,5
1072,04/09/2023,2,16,7,14400,4
2136,07/18/2023,7,16,7,24000,5
2649,09/02/2023,24,7,7,3500,4
4037,10/18/2023,5,14,7,6300,5
4724,11/11/2023,9,12,7,8400,4
9638,06/29/2024,4,17,7,10200,5
9698,07/07/2024,3,19,7,4750,4
1619,05/28/2023,11,12,7,6600,5
2962,09/12/2023,21,19,7,12350,5
2991,09/13/2023,22,18,7,7200,4
4670,11/09/2023,9,9,7,6300,5
468,02/15/2023,8,16,7,12000,4
1828,06/15/2023,27,11,7,2200,4
1891,06/23/2023,22,5,7,2000,4
3012,09/14/2023,22,18,7,7200,4
10275,09/19/2024,2,10,7,9000,4
1908,06/26/2023,25,19,7,11400,4
3659,10/04/2023,9,12,7,8400,5
3845,10/11/2023,4,20,7,12000,4
639,03/01/2023,26,5,8,4500,5
1206,04/22/2023,6,20,8,24000,4
1493,05/16/2023,15,18,8,6378,4
4868,11/16/2023,3,18,8,4500,4
5978,12/24/2023,14,8,8,2560,4
8289,03/12/2024,1,6,8,2100,4
8309,03/12/2024,3,7,8,1750,5
8959,04/13/2024,1,12,8,4200,4
426,02/11/2023,8,17,8,12750,5
699,03/05/2023,17,20,8,12000,4
1704,06/04/2023,13,5,8,2250,4
3299,09/23/2023,21,10,8,6500,4
4242,10/26/2023,2,8,8,7200,5
4528,11/05/2023,2,9,8,8100,4
5216,11/28/2023,10,14,8,25200,4
6623,01/15/2024,3,14,8,3500,4
7185,02/05/2024,2,10,8,9000,5
1092,04/10/2023,2,9,8,8100,5
4723,11/11/2023,9,7,8,4900,5
4881,11/16/2023,7,10,8,15000,4
4919,11/18/2023,3,10,8,2500,5
5659,12/13/2023,2,18,8,16200,4
7040,01/30/2024,3,15,8,3750,4
8122,03/05/2024,4,5,8,3000,4
8433,03/16/2024,4,19,8,11400,5
1653,06/01/2023,1,9,8,3150,4
2660,09/02/2023,24,17,8,8500,4
3734,10/07/2023,3,16,8,4000,4
6525,01/12/2024,2,13,8,11700,4
8529,03/19/2024,4,17,8,10200,5
37,01/04/2023,25,19,8,11400,4
7326,02/10/2024,1,14,8,4900,5
71,01/09/2023,2,11,9,9900,4
2064,07/11/2023,17,9,9,5400,4
2283,07/30/2023,21,13,9,8450,4
4089,10/20/2023,4,6,9,3600,5
5761,12/17/2023,4,8,9,4800,4
5877,12/20/2023,14,16,9,5120,4
5914,12/22/2023,14,19,9,6080,4
6391,01/07/2024,14,14,9,4480,5
6780,01/21/2024,1,5,9,1750,5
7738,02/24/2024,1,15,9,5250,5
9574,06/22/2024,1,5,9,1750,4
10233,09/13/2024,4,7,9,4200,4
50,01/06/2023,12,16,9,4800,5
307,01/31/2023,1,7,9,2450,4
1152,04/15/2023,28,14,9,4200,5
1611,05/27/2023,11,6,9,3300,4
1696,06/04/2023,5,20,9,9000,4
2058,07/11/2023,1,20,9,7000,4
3304,09/23/2023,22,12,9,4800,5
5096,11/24/2023,4,15,9,9000,5
5160,11/26/2023,11,20,9,11000,4
5707,12/15/2023,4,10,9,6000,4
5920,12/22/2023,14,12,9,3840,5
6164,12/30/2023,14,15,9,4800,4
8530,03/19/2024,4,16,9,9600,4
9674,07/03/2024,4,8,9,4800,5
9775,07/18/2024,3,19,9,4750,5
756,03/10/2023,22,9,9,3600,5
1373,05/05/2023,26,19,9,17100,5
1381,05/06/2023,12,9,9,2700,5
4457,11/02/2023,10,19,9,34200,5
5350,12/02/2023,3,8,9,2000,4
2368,08/08/2023,24,18,9,9000,5
3183,09/19/2023,24,8,9,4000,4
3500,09/29/2023,24,9,9,4500,5
7689,02/22/2024,2,7,9,6300,5
9407,05/29/2024,2,13,9,11700,4
10311,09/23/2024,3,14,9,3500,5
4964,11/19/2023,5,8,9,3600,5
7563,02/17/2024,4,10,9,6000,4
127,01/15/2023,19,16,9,4800,4
383,02/07/2023,4,20,9,12000,5
519,02/20/2023,11,15,9,8250,4
2996,09/13/2023,23,17,9,4250,5
3182,09/19/2023,23,10,9,2500,4
3927,10/14/2023,2,10,9,9000,4
6890,01/25/2024,2,5,9,4500,4
7342,02/10/2024,3,16,9,4000,5
51,01/06/2023,13,9,10,4050,4
2224,07/25/2023,7,12,10,18000,5
3067,09/16/2023,21,15,10,9750,5
3926,10/14/2023,2,17,10,15300,4
4302,10/28/2023,1,19,10,6650,4
4598,11/07/2023,5,18,10,8100,5
8138,03/06/2024,2,16,10,14400,5
10243,09/14/2024,3,10,10,2500,5
187,01/20/2023,26,13,10,11700,4
990,04/02/2023,1,13,10,4550,4
1464,05/13/2023,19,14,10,4200,4
1754,06/08/2023,17,13,10,7800,5
2332,08/04/2023,24,15,10,7500,4
3165,09/19/2023,21,16,10,10400,5
3501,09/29/2023,24,15,10,7500,5
3528,09/30/2023,24,13,10,6500,4
4066,10/19/2023,4,9,10,5400,4
4304,10/28/2023,3,6,10,1500,4
5117,11/25/2023,3,8,10,2000,5
6477,01/10/2024,14,19,10,6080,4
7442,02/13/2024,2,18,10,16200,5
7771,02/25/2024,2,7,10,6300,5
8652,03/24/2024,3,12,10,3000,5
9890,08/03/2024,3,9,10,2250,5
2252,07/27/2023,23,14,10,3500,5
2827,09/08/2023,21,11,10,7150,4
3717,10/06/2023,10,19,10,34200,4
8125,03/06/2024,1,17,10,5950,4
9199,05/07/2024,4,7,10,4200,5
3901,10/13/2023,2,10,10,9000,4
10214,09/12/2024,3,15,10,3750,5
1534,05/19/2023,18,10,10,4500,5
2122,07/17/2023,7,7,10,10500,5
3615,10/03/2023,2,8,10,7200,4
4159,10/23/2023,1,8,10,2800,4
7836,02/27/2024,3,16,10,4000,4
8071,03/04/2024,3,20,10,5000,5
10260,09/17/2024,4,15,10,9000,4
59,01/07/2023,6,13,10,15600,5
1193,04/21/2023,11,10,10,5500,5
10076,08/24/2024,2,19,10,17100,4
1746,06/07/2023,18,5,11,2250,4
7261,02/08/2024,1,18,11,6300,5
8012,03/02/2024,4,16,11,9600,5
803,03/14/2023,17,20,11,12000,4
1364,05/04/2023,18,8,11,3600,4
1939,06/30/2023,6,14,11,16800,4
4499,11/04/2023,2,7,11,6300,5
5032,11/21/2023,10,8,11,14400,4
5071,11/23/2023,4,12,11,7200,5
5684,12/14/2023,3,15,11,3750,5
6182,12/31/2023,14,7,11,2240,5
7143,02/03/2024,4,8,11,4800,4
7174,02/05/2024,1,11,11,3850,4
7716,02/23/2024,2,10,11,9000,5
8695,03/25/2024,4,7,11,4200,5
9190,05/07/2024,2,17,11,15300,4
9503,06/12/2024,2,14,11,12600,4
10290,09/20/2024,4,13,11,7800,5
239,01/25/2023,13,13,11,5850,4
2573,08/28/2023,24,6,11,3000,5
3550,10/01/2023,22,14,11,5600,4
3592,10/02/2023,9,13,11,9100,5
3841,10/11/2023,2,20,11,18000,5
4798,11/13/2023,11,9,11,4950,5
5408,12/04/2023,4,7,11,4200,5
199,01/22/2023,19,14,11,4200,4
311,01/31/2023,9,12,11,8400,5
1952,07/01/2023,13,17,11,7650,5
5225,11/29/2023,4,18,11,10800,4
5345,12/02/2023,2,20,11,18000,4
8141,03/06/2024,3,13,11,3250,5
10304,09/22/2024,1,11,11,3850,5
1242,04/25/2023,1,13,11,4550,4
3199,09/20/2023,21,16,11,10400,5
3237,09/21/2023,22,19,11,7600,4
9262,05/13/2024,4,7,11,4200,4
2030,07/08/2023,5,20,11,9000,5
3188,09/19/2023,24,16,11,8000,4
4126,10/22/2023,1,16,11,5600,5
6368,01/06/2024,14,7,11,2240,4
44,01/05/2023,14,12,12,3840,4
1862,06/20/2023,20,10,12,8000,4
2805,09/07/2023,24,14,12,7000,4
4217,10/24/2023,11,19,12,10450,4
5944,12/22/2023,14,9,12,2880,4
6138,12/29/2023,14,14,12,4480,5
6976,01/28/2024,2,18,12,16200,5
7754,02/24/2024,4,14,12,8400,4
8192,03/08/2024,2,17,12,15300,5
8346,03/14/2024,1,9,12,3150,4
9701,07/08/2024,1,5,12,1750,5
852,03/19/2023,8,5,12,3750,4
862,03/20/2023,19,18,12,5400,4
967,03/31/2023,8,14,12,10500,5
1173,04/18/2023,28,5,12,1500,5
2478,08/19/2023,24,11,12,5500,5
2746,09/05/2023,24,8,12,4000,4
3502,09/29/2023,24,5,12,2500,5
6392,01/07/2024,14,15,12,4800,5
6621,01/15/2024,2,16,12,14400,5
6821,01/22/2024,2,14,12,12600,5
8378,03/15/2024,1,5,12,1750,5
8580,03/22/2024,1,6,12,2100,4
1148,04/15/2023,17,6,12,3600,5
2380,08/10/2023,24,5,12,2500,4
3352,09/25/2023,21,14,12,9100,4
3679,10/05/2023,7,5,12,7500,5
3773,10/08/2023,9,15,12,10500,4
3806,10/09/2023,9,7,12,4900,5
4251,10/26/2023,5,11,12,4950,5
4605,11/07/2023,9,9,12,6300,5
8270,03/11/2024,2,15,12,13500,5
126,01/15/2023,16,14,12,7000,5
495,02/17/2023,3,16,12,4000,4
541,02/22/2023,3,14,12,3500,4
1882,06/22/2023,24,17,12,8500,5
6209,01/01/2024,14,5,12,1600,5
6501,01/11/2024,1,20,12,7000,4
3480,09/29/2023,21,20,12,13000,5
4218,10/25/2023,1,17,12,5950,5
10322,09/25/2024,2,16,12,14400,5
6865,01/24/2024,1,6,12,2100,4
9722,07/10/2024,2,6,12,5400,4
1707,06/04/2023,20,19,13,15200,4
2931,09/10/2023,24,12,13,6000,4
2933,09/11/2023,21,17,13,11050,5
3156,09/18/2023,24,20,13,10000,4
3174,09/19/2023,22,19,13,7600,5
5273,11/30/2023,10,17,13,30600,4
5327,12/01/2023,9,19,13,13300,4
5972,12/23/2023,14,7,13,2241,4
6314,01/04/2024,14,14,13,4480,5
6481,01/10/2024,14,20,13,6400,5
6712,01/18/2024,4,13,13,7800,5
7729,02/23/2024,4,12,13,7200,5
9957,08/09/2024,4,6,13,3600,4
344,02/02/2023,21,18,13,11700,4
488,02/16/2023,9,9,13,6300,5
1906,06/26/2023,2,14,13,12600,5
2080,07/12/2023,21,15,13,9750,4
2998,09/13/2023,24,10,13,5000,5
3051,09/15/2023,23,14,13,3500,4
3234,09/21/2023,22,12,13,4800,5
3653,10/04/2023,7,7,13,10500,4
3718,10/06/2023,10,12,13,21600,5
3738,10/07/2023,4,19,13,11400,5
4420,11/01/2023,11,17,13,9350,4
4650,11/09/2023,1,9,13,3150,5
4846,11/15/2023,5,7,13,3150,4
4909,11/17/2023,11,7,13,3850,4
5110,11/24/2023,11,11,13,6050,4
5870,12/20/2023,14,11,13,3520,5
6457,01/09/2024,14,12,13,3840,4
8159,03/07/2024,1,9,13,3150,5
8178,03/08/2024,1,11,13,3850,4
8965,04/13/2024,3,13,13,3250,5
9413,05/30/2024,2,11,13,9900,4
9604,06/25/2024,1,6,13,2100,4
9869,07/31/2024,4,11,13,6600,4
752,03/10/2023,17,14,13,8400,4
1254,04/26/2023,4,9,13,5400,5
1584,05/24/2023,17,19,13,11400,4
1748,06/07/2023,21,11,13,7150,5
2835,09/08/2023,22,8,13,3200,5
3630,10/03/2023,10,10,13,18000,5
9949,08/08/2024,4,7,13,4200,4
4984,11/20/2023,1,7,13,2450,5
8849,03/31/2024,2,11,13,9960,4
9267,05/14/2024,2,9,13,8100,5
556,02/23/2023,5,20,13,9000,4
1932,06/29/2023,8,12,13,9000,5
7360,02/11/2024,1,9,13,3150,5
6283,01/03/2024,14,10,13,3200,4
122,01/14/2023,24,18,14,9000,5
2130,07/17/2023,24,15,14,7500,4
2739,09/05/2023,24,8,14,4000,4
2791,09/07/2023,22,5,14,2000,5
2967,09/12/2023,22,15,14,6000,4
3177,09/19/2023,22,5,14,2000,4
3453,09/28/2023,22,11,14,4400,5
5440,12/05/2023,3,8,14,2000,5
5469,12/06/2023,10,6,14,10800,5
7863,02/28/2024,1,17,14,5950,4
398,02/09/2023,1,17,14,5950,5
637,03/01/2023,21,12,14,7800,5
719,03/07/2023,17,6,14,3600,4
1090,04/09/2023,27,6,14,1200,4
1921,06/28/2023,14,5,14,1600,4
2002,07/05/2023,21,16,14,10400,4
2921,09/10/2023,23,13,14,3250,4
3217,09/20/2023,24,11,14,5500,4
3549,10/01/2023,22,9,14,3600,5
3629,10/03/2023,10,7,14,12600,4
4644,11/08/2023,11,20,14,11000,4
5133,11/25/2023,11,15,14,8250,4
5747,12/16/2023,9,19,14,13300,5
5751,12/17/2023,1,8,14,2800,5
6529,01/12/2024,2,17,14,15300,4
7483,02/14/2024,4,6,14,3600,5
1037,04/06/2023,6,20,14,24000,4
2567,08/28/2023,24,15,14,7500,4
3112,09/17/2023,24,12,14,6000,4
3847,10/11/2023,4,9,14,5400,5
4743,11/12/2023,3,16,14,4000,5
8599,03/22/2024,3,16,14,4000,5
3020,09/14/2023,23,10,14,2500,4
5644,12/12/2023,7,9,14,13500,4
7959,03/01/2024,4,6,14,3600,5
2296,08/01/2023,2,16,14,14400,4
1329,05/01/2023,26,14,15,12600,5
1667,06/02/2023,4,15,15,9000,5
2473,08/19/2023,24,20,15,10000,4
3240,09/21/2023,22,8,15,3200,4
6100,12/28/2023,14,10,15,3200,5
8191,03/08/2024,2,13,15,11700,5
584,02/25/2023,9,18,15,12600,4
612,02/27/2023,15,9,15,3150,4
1596,05/26/2023,9,13,15,9100,4
2158,07/20/2023,10,14,15,25200,5
2979,09/13/2023,21,13,15,8450,5
3197,09/20/2023,21,16,15,10400,5
8202,03/08/2024,3,15,15,3750,4
9047,04/22/2024,2,10,15,9000,4
9466,06/06/2024,4,20,15,12000,4
1057,04/07/2023,24,14,15,7000,5
1747,06/07/2023,19,10,15,3000,4
3282,09/22/2023,23,15,15,3750,5
4765,11/12/2023,11,13,15,7150,4
8564,03/21/2024,3,6,15,1500,4
998,04/02/2023,16,6,15,3000,5
2556,08/27/2023,24,11,15,5500,4
3207,09/20/2023,22,17,15,6800,5
6504,01/11/2024,2,6,15,5400,4
6832,01/23/2024,1,8,15,2800,5
7867,02/28/2024,2,10,15,9000,5
9782,07/19/2024,3,9,15,2250,5
393,02/08/2023,18,16,15,7200,4
1267,04/27/2023,8,18,15,13500,5
2775,09/06/2023,24,13,15,6500,4
8478,03/18/2024,2,18,15,16200,5
9552,06/18/2024,2,12,15,10800,4
5855,12/20/2023,14,13,15,4160,5
10328,09/25/2024,2,13,15,11700,5
1325,05/01/2023,23,9,16,2250,4
4390,11/01/2023,2,10,16,9000,5
4679,11/10/2023,4,11,16,6600,4
4686,11/10/2023,6,19,16,22800,4
6206,12/31/2023,14,12,16,3840,5
7527,02/16/2024,2,10,16,9000,5
7535,02/16/2024,4,11,16,6600,5
7549,02/17/2024,2,17,16,15300,4
7698,02/22/2024,3,5,16,1250,4
7864,02/28/2024,2,14,16,12600,4
10141,09/03/2024,3,13,16,3250,5
176,01/19/2023,20,6,16,4800,4
1648,05/31/2023,16,19,16,9500,4
2251,07/27/2023,14,12,16,3840,5
3694,10/05/2023,11,15,16,8250,4
4029,10/18/2023,1,14,16,4900,5
4662,11/09/2023,7,5,16,7500,4
4898,11/17/2023,5,14,16,6300,5
5365,12/02/2023,8,17,16,12750,4
5803,12/18/2023,7,14,16,21000,5
6737,01/19/2024,3,8,16,2000,5
8142,03/06/2024,3,11,16,2750,5
8352,03/14/2024,2,11,16,9900,5
9117,05/01/2024,1,16,16,5600,4
9772,07/18/2024,2,16,16,14400,4
681,03/04/2023,15,15,16,5250,4
2847,09/08/2023,24,8,16,4000,5
3194,09/19/2023,24,13,16,6500,4
4518,11/04/2023,10,6,16,10800,5
7790,02/25/2024,4,8,16,4800,5
10182,09/07/2024,2,6,16,5400,4
6580,01/13/2024,3,6,16,1500,4
2726,09/05/2023,24,10,16,5000,4
7184,02/05/2024,2,9,16,8100,4
9801,07/21/2024,4,6,16,3600,4
397,02/08/2023,28,11,17,3300,5
454,02/14/2023,2,11,17,9900,5
1214,04/22/2023,22,11,17,4400,4
3024,09/14/2023,24,5,17,2500,4
5976,12/24/2023,14,14,17,4480,5
6067,12/26/2023,14,20,17,6400,4
6157,12/30/2023,14,10,17,3200,4
6714,01/18/2024,4,14,17,8400,4
1494,05/16/2023,17,10,17,6000,4
2374,08/09/2023,24,7,17,3500,4
6745,01/20/2024,1,12,17,4200,4
7412,02/12/2024,2,9,17,8100,4
8698,03/26/2024,1,12,17,4200,4
23,01/03/2023,9,16,17,11200,4
373,02/06/2023,9,10,17,7000,5
788,03/13/2023,12,11,17,3300,5
2866,09/09/2023,22,17,17,6800,5
6387,01/07/2024,14,14,17,4480,5
3388,09/26/2023,21,8,17,5200,4
5364,12/02/2023,8,15,17,11250,4
6284,01/03/2024,14,9,17,2880,4
6602,01/14/2024,3,15,17,3750,4
6774,01/20/2024,4,17,17,10200,4
6842,01/23/2024,2,7,17,6300,5
10342,09/26/2024,2,17,17,15300,4
2177,07/21/2023,15,5,17,1750,5
4264,10/27/2023,2,13,17,11700,5
5015,11/21/2023,4,19,17,11400,5
8492,03/19/2024,1,5,17,1750,5
92,01/11/2023,12,15,18,4500,5
196,01/22/2023,1,15,18,5250,4
382,02/06/2023,26,12,18,10800,4
782,03/12/2023,14,11,18,3520,4
1614,05/27/2023,21,17,18,11050,5
1929,06/29/2023,2,10,18,9000,4
1953,07/01/2023,13,5,18,2250,5
2765,09/06/2023,24,18,18,9000,5
3442,09/28/2023,21,8,18,5200,5
5114,11/25/2023,3,8,18,2000,5
5196,11/28/2023,1,11,18,3850,5
6922,01/26/2024,2,5,18,4500,4
8048,03/03/2024,4,11,18,6600,5
8280,03/11/2024,3,15,18,3750,5
8382,03/15/2024,2,12,18,10800,4
9920,08/05/2024,4,19,18,11400,4
1718,06/05/2023,22,19,18,7600,5
1902,06/25/2023,11,19,18,10450,4
2483,08/19/2023,24,12,18,6000,5
2559,08/27/2023,24,7,18,3500,5
3405,09/26/2023,24,20,18,10000,5
